,bookname,Author and publication,Rating,Reviewers,Link,Photo,Genre
60,木兰无长兄4,祈祷君 / 百花洲文艺出版社 / 2016-7 / 29.80元,8.4,219,https://book.douban.com/subject/26820930/,https://img9.doubanio.com/view/subject/s/public/s28825651.jpg,穿越
61,大唐明月5·云诡波谲,蓝云舒 / 上海文艺出版社 / 2014-1 / 27.00元,8.4,815,https://book.douban.com/subject/25839869/,https://img9.doubanio.com/view/subject/s/public/s27233670.jpg,穿越
62,江山（一） : 初入帝都,墨武 / 云南人民出版社 / 2009-11 / 29.80元,8.4,1661,https://book.douban.com/subject/4144066/,https://img9.doubanio.com/view/subject/s/public/s4534938.jpg,穿越
63,大唐明月6·谁家天下（完）,蓝云舒 / 上海文艺出版社 / 2014-4 / 33.00元,8.3,968,https://book.douban.com/subject/25880334/,https://img9.doubanio.com/view/subject/s/public/s27291763.jpg,穿越
64,别拿穿越不当工作（全三册）,楼笙笙 / 万卷出版社 / 2011-6-1 / 72.00元,8.3,1099,https://book.douban.com/subject/6790474/,https://img9.doubanio.com/view/subject/s/public/s24518871.jpg,穿越
65,不负如来不负卿（大结局）,小春 / 浙江文艺出版社 / 2012-8 / 29.80元,8.3,284,https://book.douban.com/subject/10867420/,https://img9.doubanio.com/view/subject/s/public/s11118700.jpg,穿越
66,木兰无长兄6,祈祷君 / 百花洲文艺出版社 / 2016-9 / 29.80元,8.3,182,https://book.douban.com/subject/26860947/,https://img9.doubanio.com/view/subject/s/public/s28997148.jpg,穿越
67,新宋Ⅲ·燕云4 : 燕云4,阿越 / 花山文艺出版社 / 2010年 / 29.80元,8.3,761,https://book.douban.com/subject/5336752/,https://img9.doubanio.com/view/subject/s/public/s6233284.jpg,穿越
68,掌事(卷六),清楓聆心 / 說頻文化 / 2013-7-17 / NTD 250,8.3,106,https://book.douban.com/subject/25700793/,https://img9.doubanio.com/view/subject/s/public/s27011465.jpg,穿越
69,傲风1·光芒大陆Ⅱ（上下册）,风行烈 / 江苏文艺出版社 / 2012-4 / 49.80元,8.3,196,https://book.douban.com/subject/10546254/,https://img9.doubanio.com/view/subject/s/public/s9038942.jpg,穿越
70,清风入梦·怡殇Ⅱ,凛冽 / 朝华出版社 / 2007-08 / 22.0,8.3,1112,https://book.douban.com/subject/2241269/,https://img9.doubanio.com/view/subject/s/public/s2889930.jpg,穿越
71,新宋·十字1,阿越 / 花山文艺出版社 / 2008-01 / 22.0,8.3,2567,https://book.douban.com/subject/2373834/,https://img9.doubanio.com/view/subject/s/public/s2889965.jpg,穿越
72,木兰无长兄7,祈祷君 / 百花洲文艺出版社 / 2016-11 / 29.80元,8.3,175,https://book.douban.com/subject/26904053/,https://img9.doubanio.com/view/subject/s/public/s29125011.jpg,穿越
73,再生英雌凌,上田伦子,8.3,103,https://book.douban.com/subject/3105805/,https://img9.doubanio.com/view/subject/s/public/s3136596.jpg,穿越
74,江山2·南征北讨,墨武 / 云南人民出版社 / 2010-6 / 29.80元,8.3,348,https://book.douban.com/subject/4841659/,https://img9.doubanio.com/view/subject/s/public/s6178510.jpg,穿越
75,小荷才露尖尖角 : 官居一品之一,三戒大师 / 中国青年出版社 / 2011-3 / 25.00元,8.3,235,https://book.douban.com/subject/5918449/,https://img9.doubanio.com/view/subject/s/public/s6279380.jpg,穿越
76,掌事(卷五),清楓聆心 / 說頻文化 / 2013-7-17 / NTD 250,8.3,111,https://book.douban.com/subject/25700792/,https://img9.doubanio.com/view/subject/s/public/s27011460.jpg,穿越
77,天下·壹·风起,宁致远 / 朝华出版社 / 2006-01 / 25.0,8.3,188,https://book.douban.com/subject/1492927/,https://img9.doubanio.com/view/subject/s/public/s1560472.jpg,穿越
78,天下·叁·攻伐,宁致远 / 朝华出版社 / 2006-07 / 22.0,8.3,146,https://book.douban.com/subject/1837267/,https://img9.doubanio.com/view/subject/s/public/s1765995.jpg,穿越
79,庆余年·肆,猫腻 / 中国友谊出版公司 / 2008-09 / 28.00元,8.3,6611,https://book.douban.com/subject/3165386/,https://img9.doubanio.com/view/subject/s/public/s3207466.jpg,穿越
